ID,Function,Function Description,Category ID,Category,Category Description,Subcategory ID,Subcategory Description,Implementation Example,In Scope? ,Owner,Stakeholders,Auditor,NIST 800-53 Control Ref,Test Procedure(s),Observation Date,Observations,Actual Score,Minimum Target,Desired Target,Gap to Minimum Target,Testing Status,Action Plan,Artifact Name,Linked Artifact URL,,Drop down values: In Scope?,Drop down values: Testing Status
DE.AE-02 Ex2,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-02,Potentially adverse events are analyzed to better understand associated activities,"Ex2: Utilize up-to-date cyber threat intelligence in log analysis tools to improve detection accuracy and characterize threat actors, their methods, and indicators of compromise",No,,,,"AU-06,CA-07,IR-04,SI-04",,,,0,5,7,5,  Not Started  ,,,,,Yes,Not Started
DE.AE-02 Ex3,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-02,Potentially adverse events are analyzed to better understand associated activities,Ex3: Regularly conduct manual reviews of log events for technologies that cannot be sufficiently monitored through automation,No,,,,"AU-06,CA-07,IR-04,SI-04",,,,0,5,7,5,  Not Started  ,,,,,No,In Progress
DE.AE-02 Ex4,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-02,Potentially adverse events are analyzed to better understand associated activities,Ex4: Use log analysis tools to generate reports on their findings,No,,,,"AU-06,CA-07,IR-04,SI-04",,,,0,5,7,5,  Not Started  ,,,,,,Submitted
DE.AE-03 Ex1,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-03,Information is correlated from multiple sources,Ex1: Constantly transfer log data generated by other sources to a relatively small number of log servers,No,,,,"AU-06,CA-07,IR-04,IR-05,IR-08,PM-16,SI-04",,,,0,5,7,5,  Not Started  ,,,,,,Complete
DE.AE-03 Ex3,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-03,Information is correlated from multiple sources,Ex3: Utilize cyber threat intelligence to help correlate events among log sources,No,,,,"AU-06,CA-07,IR-04,IR-05,IR-08,PM-16,SI-04",,,,0,5,7,5,  Not Started  ,,,,,,
DE.AE-04 Ex2,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-04,The estimated impact and scope of adverse events are understood,Ex2: A person creates their own estimates of impact and scope,No,,,,"PM-09,PM-11,PM-18,PM-28,PM-30",,,,0,5,7,5,  Not Started  ,,,,,,
DE.AE-06 Ex2,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-06,Information on adverse events is provided to authorized staff and tools,Ex2: Incident responders and other authorized personnel can access log analysis findings at all times,No,,,,"IR-04,PM-15,PM-16,RA-04,RA-10",,,,0,5,7,5,  Not Started  ,,,,,,
DE.AE-06 Ex3,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-06,Information on adverse events is provided to authorized staff and tools,Ex3: Automatically create and assign tickets in the organization's ticketing system when certain types of alerts occur,No,,,,"IR-04,PM-15,PM-16,RA-04,RA-10",,,,0,5,7,5,  Not Started  ,,,,,,
DE.AE-06 Ex4,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-06,Information on adverse events is provided to authorized staff and tools,Ex4: Manually create and assign tickets in the organization's ticketing system when technical staff discover indicators of compromise,No,,,,"IR-04,PM-15,PM-16,RA-04,RA-10",,,,0,5,7,5,  Not Started  ,,,,,,
DE.AE-07 Ex1,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-07,Cyber threat intelligence and other contextual information are integrated into the analysis,"Ex1: Securely provide cyber threat intelligence feeds to detection technologies, processes, and personnel",No,,,,"PM-16,RA-03,RA-10",,,,0,5,7,5,  Not Started  ,,,,,,
DE.AE-07 Ex3,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-07,Cyber threat intelligence and other contextual information are integrated into the analysis,"Ex3: Rapidly acquire and analyze vulnerability disclosures for the organization's technologies from suppliers, vendors, and third-party security advisories",No,,,,"PM-16,RA-03,RA-10",,,,0,5,7,5,  Not Started  ,,,,,,
